processed_tweets,class,neutralized_tweets
rt iont like yall always talking not even tryna be funny thou rns bitch i do,1,rt iont like yall always talking not even tryna be funny thou rns person i do
that s not bias it s an objective fact that philly fans are cunts,0,that s not bias it s an objective fact that philly fans are cunts
ugh your with tebow you re officially a fag now and in followed,1,ugh your with tebow you re officially a person now and in followed
rt bitch we rmp fuck who don t like i don t like,1,rt person we rmp messing around who don t like i don t like
bitch,1,person
that old cunt needs to sit down,1,that old cunt needs to sit down
rt i be closing my eyes and shit sometimes so bitches be able to sneak a quick nipple lick in but she ain t going ham on me yo,1,rt i be closing my eyes and stuff sometimes so person be able to sneak a quick nipple lick in but she ain t going ham on me yo
rt good day with these bitches,1,rt good day with these person
some niggas didnt desrve to have that bitch in the first place,1,some person didnt desrve to have that person in the first place
rt call da po po hoe,1,rt call da po po people
i adopted these bitches,1,i adopted these person
what if pussy treated condoms like cars treat seatbelts and kept beeping until u put it on,1,what if pussy treated condoms like cars treat seatbelts and kept beeping until u put it on
where s the pic of her standing again this bitch looks like voltorb,1,where s the pic of her standing again this person looks like voltorb
cute ass niggah,0,cute person person
i feel sorry fo niggas dat gtta make up shit to lie about i would hate to have to think that fuckin much bitch,1,i feel sorry fo person dat gtta make up stuff to lie about i would hate to have to think that fuckin much person
rt this sam guy is a fucking pussy,1,rt this sam guy is a messing around pussy
can you let me stretch that pussy out or nahhh,1,can you let me stretch that pussy out or nahhh
this is a true ride or die bitch what the fuck hahahahah,1,this is a true ride or die person what the messing around hahahahah
bitch where u be fuck nigga,1,person where u be messing around person
rt you bitches are so inconsiderate smh,1,rt you person are so inconsiderate smh
good bitch choke,1,good person choke
nothing says fashion like a cunt hat,1,nothing says fashion like a cunt hat
everything look better with a bitch next to it,1,everything look better with a person next to it
rt and on the th day god said these hoes are for everybody,1,rt and on the th day god said these people are for everybody
rt i bet there are hella rednecks who just got super pissed at that coke commercial,1,rt i bet there are hella rednecks who just got super pissed at that coke commercial
rt lmao poor pussy,1,rt lmao poor pussy
id rather be your niggah,1,id rather be your person
you re unattractive dinner dates with yo man bitch pow,1,you re unattractive dinner dates with yo man person pow
bout to beat this case like a pussy nigga,1,bout to beat this case like a pussy person
rt stop being a little bitch and fuckherrightinthepussy,1,rt stop being a little person and fuckherrightinthepussy
ion trust no bitch,1,ion trust no person
dey selling liquor drinks in dis bitch too,1,dey selling liquor drinks in dis person too
rt my bad bitch im logged in on everybody shit hell yeaa me too seen tiff just tweet f,1,rt my bad person im logged in on everybody stuff hell yeaa me too seen tiff just tweet f
rt it s your girls friends that you gotta watch out for those the bitches that be tryna encourage her to leave you,1,rt it s your girls friends that you gotta watch out for those the person that be tryna encourage her to leave you
iggy azaelia is no one hit wonder she is a bad bitch,1,iggy azaelia is no one hit wonder she is a bad person
my momma saw how the girls danced and was like grandma was like shake that ass hoe,1,my momma saw how the girls danced and was like grandma was like shake that person people
rt hoes these days be like,1,rt people these days be like
karmas a bitch i guess you should of loved the old me,1,karmas a person i guess you should of loved the old me
elza m jones was whipppppppen and drifting last night lol we was tu this ma niggah,1,elza m jones was whipppppppen and drifting last night lol we was tu this ma person
we know ya bitch,1,we know ya person
rt when someone retweets a bitch i hate onto my timeline,1,rt when someone retweets a person i hate onto my timeline
rt i don t fuck with these hoes amp i don t fuck with niggas that s fuckin these hoes,0,rt i don t messing around with these people amp i don t messing around with person that s fuckin these people
kleopatra ivory skinned nubile kleopatra fingers her shaved pussy,1,kleopatra ivory skinned nubile kleopatra fingers her shaved pussy
rt rutgers terminated mike rice s contract by repeatedly calling it a cunt while hurling balls at it until it finally kill,1,rt rutgers terminated mike rice s contract by repeatedly calling it a cunt while hurling balls at it until it finally kill
i m just matching grams wit my fam bitch,1,i m just matching grams wit my fam person
rt i want a black guy thats wears jordans and has tattoos bitch thats a created player on k,1,rt i want a black guy thats wears jordans and has tattoos person thats a created player on k
chill bitch we ain t in love,1,chill person we ain t in love
rt lmaoooo what a bunch of fags,0,rt lmaoooo what a bunch of fags
ily hoe cheer up pretti,1,ily people cheer up pretti
rt yes the bird tweets in the morning are lovely but remember what you re hearing is bird cock here get some rock hard bird,1,rt yes the bird tweets in the morning are lovely but remember what you re hearing is bird cock here get some rock hard bird
rt stop playin bitch you know i m mvp,1,rt stop playin person you know i m mvp
no wonder your career is in the dump that s where trash like you belongs thanks to for pointing out your true colors,1,no wonder your career is in the dump that s where trash like you belongs thanks to for pointing out your true colors
i can t stand a snobby stuck up bitch,1,i can t stand a snobby stuck up person
ah lil bit bitch,1,ah lil bit person
rt lol i don t need halloween to dress like a ho i know myself everyday is another opportunity,1,rt lol i don t need halloween to dress like a ho i know myself everyday is another opportunity
and retarded love is always retarded sentimental,1,and retarded love is always retarded sentimental
i tell a bitch i don t love shit fuck somethin,1,i tell a person i don t love stuff messing around somethin
how this ugly ass nigga gets more pussy than me,1,how this ugly person person gets more pussy than me
i have something that you don t bitch always remember that,1,i have something that you don t person always remember that
cus you gt d hoes,1,cus you gt d people
rt if i ve ever offended you im sorry that you re a sensitive lil bitch,1,rt if i ve ever offended you im sorry that you re a sensitive lil person
thats a goddamn terrible joke you gbe lookin bitch,1,thats a goddamn terrible joke you gbe lookin person
rt aw y all some hoes hating on that girl that looks like a dude,1,rt aw y all some people hating on that girl that looks like a dude
rt recent studies have shown that ur a lil bitch,1,rt recent studies have shown that ur a lil person
i ain t fenna be locked up hours a day beating my dick for a guilty mf who out here fucking free world pussy,1,i ain t fenna be locked up hours a day beating my dick for a guilty mf who out here messing around free world pussy
poor sos has annoying ass cunts as fans they don t care about you at all you know,1,poor sos has annoying person cunts as fans they don t care about you at all you know
they hardly get sex so when the opportunity of sick presents itself their giving you some pussy and boy are they generous,1,they hardly get sex so when the opportunity of sick presents itself their giving you some pussy and boy are they generous
you can t spell patrick without trick so trick or treat bitch,1,you can t spell patrick without trick so trick or treat person
i got this root beer chillin in the fridge imma crack that bitch open in a few,1,i got this root beer chillin in the fridge imma crack that person open in a few
back off ya queer bag,1,back off ya queer bag
some hoes that tweet just make me mad lol,1,some people that tweet just make me mad lol
los pussy ass lost by points i winnnnnnnnn,1,los pussy person lost by points i winnnnnnnnn
rt jenny was a hoe til she got aids until she was ready to settle down with forrest gump who tried saving her so many tim,1,rt jenny was a people til she got aids until she was ready to settle down with forrest gump who tried saving her so many tim
i got the streets in a head lock i got yo bitch in a leg lock,1,i got the streets in a head lock i got yo person in a leg lock
rt falling in love is easy its falling out of love that s a bitch,1,rt falling in love is easy its falling out of love that s a person
eda the queers at aa lol,0,eda the queers at aa lol
rt these hoes turn into contortionist just so u can see their ass amp their smile in the same picture smh it s hard work thir,1,rt these people turn into contortionist just so u can see their person amp their smile in the same picture smh it s hard work thir
rt waterproof lab coat in case i drown in the pussy swag,1,rt waterproof lab coat in case i drown in the pussy swag
irritating reading ppl bitch abt smthng yet offer shit for evidence to even support their slant simply complaining is the easy part,1,irritating reading ppl person abt smthng yet offer stuff for evidence to even support their slant simply complaining is the easy part
your a punk pussy ass bitch dude you don t have the balls to fight all you wanna do is wanna hit girls your a fuckin bitch,1,your a rude person pussy person person dude you don t have the balls to fight all you wanna do is wanna hit girls your a fuckin person
rt true i need to sleep to make them gainz bruh so all the hoes stay mirin p alright later,0,rt true i need to sleep to make them gainz bruh so all the people stay mirin p alright later
you re dismissed bitch not in the mood for fucktards this morning blocked,1,you re dismissed person not in the mood for fucktards this morning blocked
rt rt can you imagine tryn yo hardest to stop a bitch frm slutin and still comin up unsuccessful,1,rt rt can you imagine tryn yo hardest to stop a person frm slutin and still comin up unsuccessful
i would call you a bitch but that s frowned upon,1,i would call you a person but that s frowned upon
gotta turn the hoe into housewife,1,gotta turn the people into housewife
that s meant toward my dads gf shes a bitch dude,1,that s meant toward my dads gf shes a person dude
he s just a cunt and nobody likes him he should choke on shit,1,he s just a cunt and nobody likes him he should choke on stuff
i know this one hoe on twitter right now that s catfishin shit,1,i know this one people on twitter right now that s catfishin stuff
shyyyyyt hours ain t no hoe this fulltime hr plus overtime and benefits sounds real good to me,1,shyyyyyt hours ain t no people this fulltime hr plus overtime and benefits sounds real good to me
rt i got bitches an i know some killlllllas fuck y all,1,rt i got person an i know some killlllllas messing around y all
if you aint bout that murder game pussy nigga shut up,1,if you aint bout that murder game pussy person shut up
rt i swear a yung nigga use to wanna be a heartbreak kid rt shawn micheals amp razor ramon both had bitches,1,rt i swear a yung person use to wanna be a heartbreak kid rt shawn micheals amp razor ramon both had person
y all bitches be coming up with some dumb shit what the fuck is fleek,1,y all person be coming up with some dumb stuff what the messing around is fleek
you don t know me but i m your bra rt doobie brothers member michael mcdonald says he ll come out as a tranny,1,you don t know me but i m your bra rt doobie brothers member michael mcdonald says he ll come out as a transgender person
its a problem bitch ya better follow me i give ya this dick you then won the lottery,1,its a problem person ya better follow me i give ya this dick you then won the lottery
it s wifey over bitches but money s over her cuz money s under nothing my life is such a blur it s not the way it has to go,1,it s wifey over person but money s over her cuz money s under nothing my life is such a blur it s not the way it has to go
leo apolonio look this niggah did a drive by on the bike,1,leo apolonio look this person did a drive by on the bike
from conversation at that these hoes be falling too easy,1,from conversation at that these people be falling too easy
must have been a light skin hoe lmfao wtf she mean af he wasnt ready bruh rip,0,must have been a light skin people lmfao what she mean af he wasnt ready bruh rip
these hoes gay thats why,1,these people gay thats why
lmaooo nigga said a hol it down dyke was in the background,1,lmaooo person said a hol it down dyke was in the background
i got the giggles because i m a fag i ain t gon lie lol,1,i got the giggles because i m a person i ain t gon lie lol
rt getting bitches,1,rt getting person
niggas go crazy over bitches now a days like calm yo happy ass down,1,person go crazy over person now a days like calm yo happy person down
i thought you was talm bout the school wifi i was gon say all you had to do was ask a bitch,1,i thought you was talm bout the school wifi i was gon say all you had to do was ask a person
well ho di doe thank you,1,well ho di doe thank you
rt it ain t nuttin to cut that bitch off,1,rt it ain t nuttin to cut that person off
what a wetback looks like when he gets caught crossing the border,0,what a wetback looks like when he gets caught crossing the border
bad bitches is the only thing that i like,1,bad person is the only thing that i like
get that degree first bitch,1,get that degree first person
rt the older i get the less i give a fuck beef bitch please loosing friends bitch bye drama ill pass,1,rt the older i get the less i give a messing around beef person please loosing friends person bye drama ill pass
double tap and imma be honest hoe honest hoe,1,double tap and imma be honest people honest people
don t take advantage of a nice person hoes everyjuan,1,don t take advantage of a nice person people everyjuan
rt fake bitch hey girl me,1,rt fake person hey girl me
rt future bae best drink fiji water so her pussy taste like retweets amp cinammon apples,1,rt future bae best drink fiji water so her pussy taste like retweets amp cinammon apples
shuddup hoe,1,shuddup people
i can t believe this nigga told me to put nutella on a bitch before you eat her out wildnigga,1,i can t believe this person told me to put nutella on a person before you eat her out wildnigga
thatfuckmemoment when you leave your car windows down and it rains in your car and looks like hurricane katrina ran through that bitch,1,thatfuckmemoment when you leave your car windows down and it rains in your car and looks like hurricane katrina ran through that person
rt i m not saying i m for this but studs will fuck trannys but won t let they bitch strap them down you muhfuckas childish lol,1,rt i m not saying i m for this but studs will messing around trannys but won t let they person strap them down you muhfuckas childish lol
ugh i m such a little bitch,1,ugh i m such a little person
horny mature babe in a kimono has her pussy fingered and fucked,1,horny mature babe in a kimono has her pussy fingered and messing around
rt this was the most racist bitch in the world,1,rt this was the most racist person in the world
if you would have followed george washington in it means that you re white trash,0,if you would have followed george washington in it means that you re white trash
rt when the pussy so wet you hear that shit smacking gt gt gt gt gt,1,rt when the pussy so wet you hear that stuff smacking gt gt gt gt gt
rt i m trying to pass my nigguh,1,rt i m trying to pass my nigguh
cuz bitches love cheesy,1,cuz person love cheesy
boa i m trying see if that bitch was going or not me amp vick stay agru about he don t get hoes,1,boa i m trying see if that person was going or not me amp vick stay agru about he don t get people
i treat my bitches with respect,1,i treat my person with respect
fresh polo on you bitches,1,fresh polo on you person
i m jakes bitch,1,i m jakes person
i can t remember all the girls i ve smashed on god hoe shit not technically it takes,1,i can t remember all the girls i ve smashed on god people stuff not technically it takes
he died for a reason rt i didn t follow you back cuz you fat bitch foh large hoe jesus ain t pleased fam,1,he died for a reason rt i didn t follow you back cuz you fat person foh large people jesus ain t pleased fam
rt hell nahh if a bitch had respect for her own damn body she wouldn t wear that shit in public,1,rt hell nahh if a person had respect for her own damn body she wouldn t wear that stuff in public
rt liquor before beer you re in the clear beer before liquor you ll be fine don t be a bitch,1,rt liquor before beer you re in the clear beer before liquor you ll be fine don t be a person
all that but the bitch can t take a joke,1,all that but the person can t take a joke
i m a dick and you ain t even got ya strap on pussy,1,i m a dick and you ain t even got ya strap on pussy
so far today every time i try to load an article from the blaze on twitter the site crashes wtf is selibus doing now the cunt,1,so far today every time i try to load an article from the blaze on twitter the site crashes what is selibus doing now the cunt
gansitos are atg beaner candy,1,gansitos are atg beaner candy
dudes have problems deciphering sex too side bitches get wifely love you can t keep a secret if you re overdoing dirt,1,dudes have problems deciphering sex too side person get wifely love you can t keep a secret if you re overdoing dirt
for all you hoes know i could be dj zetti,1,for all you people know i could be dj zetti
every bitch tell me i act like a nigga whatever the fuck that means,1,every person tell me i act like a person whatever the messing around that means
grant bitches more than a year old white bitch,1,grant person more than a year old white person
pussy shit,1,pussy stuff
i just need to know what that pussy like so one time is fine with me drizzy lol,1,i just need to know what that pussy like so one time is fine with me drizzy lol
i m so faded my nigga i m about to disappear in this bitch,1,i m so faded my person i m about to disappear in this person
yup and now we pickin you white bitches bare like a chicken leg,1,yup and now we pickin you white person bare like a chicken leg
amo los pies fuck yeah,1,amo los pies messing around yeah
quit talking shit you fucking faggot you re seriously just mad bc no one wants you who the fuck do you even think you are,1,quit talking stuff you messing around person you re seriously just mad bc no one wants you who the messing around do you even think you are
good day honkies,1,good day honkies
awe did i cut you off and make you mad that s too dam bad shoulda been going the fucking speed limit bitch,1,awe did i cut you off and make you mad that s too dam bad shoulda been going the messing around speed limit person
lmao excuse me bitch i am not soundcloud,1,lmao excuse me person i am not soundcloud
rt bitch don t nobody care,1,rt person don t nobody care
this is why people are lucky they only deal with customers over the phone there d be a lot of choked out bitches if this was done in person,1,this is why people are lucky they only deal with customers over the phone there d be a lot of choked out person if this was done in person
i m not particularly shy but hard for me to break ice with a stranger or in others words i m a pussy haha she was so cute too,1,i m not particularly shy but hard for me to break ice with a stranger or in others words i m a pussy haha she was so cute too
lol now all ya need is sum beacg bod abs pussy boy,1,lol now all ya need is sum beacg bod abs pussy boy
he s been drinking too much of that shitty canadian hoser beer eh,1,he s been drinking too much of that shitty canadian hoser beer eh
she a true boss bitch i respect her,1,she a true boss person i respect her
rt hoes be going through depression when they dude in jail bc other females gettn told the same shit they all need to be there,1,rt people be going through depression when they dude in jail bc other females gettn told the same stuff they all need to be there
it is bitch,1,it is person
no one understands how much it pisses me off when people use the word retard,1,no one understands how much it pisses me off when people use the word retard
rt lebron a bitch drake performed with a torn acl at the mtv awards,1,rt lebron a person drake performed with a torn acl at the mtv awards
when bitches i work with are on there period,1,when person i work with are on there period
foreign bad bitch n she said her name trinaaa trap house look like it got hit by hurricane katrinaaaa,1,foreign bad person n she said her name trinaaa trap house look like it got hit by hurricane katrinaaaa
i feel like i should be sad and all that pussy shit but i am just so pissed right now idk what i m feeling,1,i feel like i should be sad and all that pussy stuff but i am just so pissed right now idk what i m feeling
rt side hoes shall only eat side dishes fo ye are what ye eats traprinthions,1,rt side people shall only eat side dishes fo ye are what ye eats traprinthions
oh yeah and fuck the lakers too bitch boi,1,oh yeah and messing around the lakers too person boi
mom you ve been a real bitch lately,1,mom you ve been a real person lately
rt i hate you dumb bitches that swear that to be happy you need to be a in a relationship y all honestly need to revaluate life,1,rt i hate you dumb person that swear that to be happy you need to be a in a relationship y all honestly need to revaluate life
rt rt i done went wit a hoe before frfr so who am i to judge,1,rt rt i done went wit a people before frfr so who am i to judge
hey hoe,1,hey people
the opening to donatella inspires me to wake up and be the baddest bitch i know i can be every day thank you,1,the opening to donatella inspires me to wake up and be the baddest person i know i can be every day thank you
late night studio sessions bitch i got that work brickk ent ya bitch ycg night life,1,late night studio sessions person i got that work brickk ent ya person ycg night life
ohh yaa he wants brooke to be his pinkie toe so he can bang it on the coffee table what a twat lol,1,ohh yaa he wants brooke to be his pinkie toe so he can bang it on the coffee table what a twat lol
bitch ain t u his lawyer y u thank ery body stfu kill dat bitch to,1,person ain t u his lawyer y u thank ery body stfu kill dat person to
ruley a bitch ry,1,ruley a person ry
i wonder if there s ever a day in my sisters life that she s ever not a complete and utter bitch or if she saves it special just for me,1,i wonder if there s ever a day in my sisters life that she s ever not a complete and utter person or if she saves it special just for me
remember when i told yall bout my coworker not lookin out a couple weeks back karma s a hoe got his ass,1,remember when i told yall bout my coworker not lookin out a couple weeks back karma s a people got his person
rt i like good weed amp bad bitches dat can roll it up,1,rt i like good weed amp bad person dat can roll it up
i must be a bitch,1,i must be a person
get a bitch break a bitch,1,get a person break a person
you a broke bitch too,1,you a broke person too
rt when she comes through with the nudes but they trash but she got big titties,1,rt when she comes through with the nudes but they trash but she got big titties
think its cause she saw me doing biceps lmao jk im still a bitch,1,think its cause she saw me doing biceps lmao jk im still a person
here i go welcome to the titty show typa ass i see in a video when i fuck nut in you like a silly hoe,1,here i go welcome to the titty show typa person i see in a video when i messing around nut in you like a silly people
would ve liked some more backup but i can handle myself against a gang of retards,1,would ve liked some more backup but i can handle myself against a gang of retards
rt do i have time for these hoes no no no no no no no no no,1,rt do i have time for these people no no no no no no no no no
lmao rt harden look like the last air bender out this bitch,1,lmao rt harden look like the last air bender out this person
rt you and yo bitch break up and she start lol at another nigga she gone for good bruh,1,rt you and yo person break up and she start lol at another person she gone for good bruh
fucking bitch,1,messing around person
hell na hes a honky brah,1,hell na hes a honky brah
oh gt gt gt gt gt so that s the bald bitch lt lt lt lt lt lt lt,1,oh gt gt gt gt gt so that s the bald person lt lt lt lt lt lt lt
my main bitch amp my side bitch mad at me i could give two fuckssss,1,my main person amp my side person mad at me i could give two fuckssss
same bitches they be all in my face bout how they couldn t do it be the same bitches all on his dick,1,same person they be all in my face bout how they couldn t do it be the same person all on his dick
this white bitch dressed as the devil at my job oh the irony lol,1,this white person dressed as the devil at my job oh the irony lol
group chat bitches we call yall undercover feds watching everybody,1,group chat person we call yall undercover feds watching everybody
happy birthday to literally the craziest bitch i know i m so happy i m related to u,1,happy birthday to literally the craziest person i know i m so happy i m related to u
if dey go to linch together she gon eat that pussy befo they come back,1,if dey go to linch together she gon eat that pussy befo they come back
they can t fit on that small ass street son bitch you know what happen last time we was onyur st,1,they can t fit on that small person street son person you know what happen last time we was onyur st
my bitch cold not average you couldn t fuck my last bitch,1,my person cold not average you couldn t messing around my last person
if you slow down for a puddle you re a bitch,1,if you slow down for a puddle you re a person
but bitch you gon shave or wax that pussy before i bless it foh,1,but person you gon shave or wax that pussy before i bless it foh
lmaoo typical nig nog bombs should ve got pics,1,lmaoo typical nig nog bombs should ve got pics
rt bitches cant get the ios because they have over gb of selfies cuh,1,rt person cant get the ios because they have over gb of selfies cuh
i don t hit women but i d slap tf out a bitch no close fisted business though that s some cowardly shit,1,i don t hit women but i d slap tf out a person no close fisted business though that s some cowardly stuff
boy a bitch still ain t got the proper amount of sleep,1,boy a person still ain t got the proper amount of sleep
rt i want to leave but he said he was going to eat my pussy now i m afraid to go and leave my cat alone with him,1,rt i want to leave but he said he was going to eat my pussy now i m afraid to go and leave my cat alone with him
and youre a fucking loudmouth ignorant redneck fuck you still tryin to suck your own dick you cant you dumbfuck its too short,1,and youre a messing around loudmouth ignorant redneck messing around you still tryin to suck your own dick you cant you dumbfuck its too short
keep it realer than the next bitch no need for u to ever sweat the next bitch indeed,1,keep it realer than the next person no need for u to ever sweat the next person indeed
rt lees hoe een gepeste jongen zich probeert te verdedigen ingezonden brief volkskrant pesten,1,rt lees people een gepeste jongen zich probeert te verdedigen ingezonden brief volkskrant pesten
you dirty little bitch,1,you dirty little person
trainer lady is a bitch shook my hand made me promise her i ma study for a test tomorrow and idk i don t like her she s trying to break me,1,trainer lady is a person shook my hand made me promise her i ma study for a test tomorrow and idk i don t like her she s trying to break me
rt i m such a bitch lmao i really just say what s on my mind though can t help it,1,rt i m such a person lmao i really just say what s on my mind though can t help it
these bitches crazzzyyyyyy,1,these person crazzzyyyyyy
i swear ain t nothing worse than a bad bitch that lost it,1,i swear ain t nothing worse than a bad person that lost it
oh my god this bitch walked past me and legit smelled like a fish market tfeh tfeh tfeh,1,oh my god this person walked past me and legit smelled like a fish market tfeh tfeh tfeh
so i made hey as a short cut for pussy lips in ann s phone,1,so i made hey as a short cut for pussy lips in ann s phone
if you are out clubbing every weekend and leaving your child with your baby momma i don t wanna hear you bitch about child support,1,if you are out clubbing every weekend and leaving your child with your baby momma i don t wanna hear you person about child support
she tried to get you to rob the wop but now the bitch in critical,1,she tried to get you to rob the wop but now the person in critical
just need a bad bitch thats gone always hold me down,1,just need a bad person thats gone always hold me down
a moment of silence for the bitch who changes her name everyday,1,a moment of silence for the person who changes her name everyday
danny chris and i should not be allowed out in public together cunts,1,danny chris and i should not be allowed out in public together cunts
whatever fuck all those assholes they re niggers they all look alike to me,0,whatever messing around all those assholes they re niggers they all look alike to me
rt you prolly don t like me niggah i don t really give a fuck how you feel,1,rt you prolly don t like me person i don t really give a messing around how you feel
why you gotta hoe me like that,1,why you gotta people me like that
rt attention keshonna alexander had the best pussy in the world taste good asf,1,rt attention keshonna alexander had the best pussy in the world taste good asf
has anyone noticed that aliens have flaws too some of those retards have crash landed on earth means they dont know how to drive,1,has anyone noticed that aliens have flaws too some of those retards have crash landed on earth means they dont know how to drive
we should change that to bitch about everything for example my girlfriend don t like the crew i hang with she bae,1,we should change that to person about everything for example my girlfriend don t like the crew i hang with she bae
rt lmao i fucks with amp real talk them bitches know how to have fun,1,rt lmao i fucks with amp real talk them person know how to have fun
tylar shut up bitch i usta make you these,1,tylar shut up person i usta make you these
i m not mexican enough for the real beaners yet too mexican for the americanized beaners,1,i m not mexican enough for the real beaners yet too mexican for the americanized beaners
aye sae en feeld kawkin dyke,1,aye sae en feeld kawkin dyke
rt welcome to good burger home of the good burger can i fuck your bitch,1,rt welcome to good burger home of the good burger can i messing around your person
that bitch could sit on my face,1,that person could sit on my face
yall bitches only muslim when yall hair fucked up ctfu stop that youngs,1,yall person only muslim when yall hair messing around up ctfu stop that youngs
rt this tweet was a booby trap and i caught hoes,1,rt this tweet was a booby trap and i caught people
rt can murder my pussy,1,rt can murder my pussy
getting hit off a cunt thats about foot sideways and a cunt that was in the army lol i dini care yous are fuckin laughable,0,getting hit off a cunt thats about foot sideways and a cunt that was in the army lol i dini care yous are fuckin laughable
got these bad bitches waiting on me,1,got these bad person waiting on me
im so happy in the morning after i shave my pussy cuteness always sets me up for a good day u need some dick,1,im so happy in the morning after i shave my pussy cuteness always sets me up for a good day u need some dick
feel like im at home when im in dis bitch,1,feel like im at home when im in dis person
amp fuck your bitch,1,amp messing around your person
rt i have no hoes man i don t need those though i need to pick mines back up,1,rt i have no people man i don t need those though i need to pick mines back up
no love for these fuck niggas hoes,1,no love for these messing around person people
rt last night was cool until niggas was more worried bout us than bitches it s like that all the time,1,rt last night was cool until person was more worried bout us than person it s like that all the time
this bitch just said lorde is rock no,1,this person just said lorde is rock no
if pussy is just pussy to you you a nasty ass nigga hope you get aids bit harsh rethink that statement,1,if pussy is just pussy to you you a nasty person person hope you get aids bit harsh rethink that statement
is it full of niggers,1,is it full of niggers
im our here filling these hoes jaw side,1,im our here filling these people jaw side
me and my nigguh stay doin it,1,me and my nigguh stay doin it
rt bitches eyebrows be on fleek loyalty on weak edges incomplete and pussy on reek,1,rt person eyebrows be on fleek loyalty on weak edges incomplete and pussy on reek
where the hoes at we looking for the hoes ayeee,1,where the people at we looking for the people ayeee
rt i have to pretend like i m a cold hearted bitch and cut you off in an instant without a second thought when actually i,1,rt i have to pretend like i m a cold hearted person and cut you off in an instant without a second thought when actually i
rt rt x x rt only twitter niggas care bout hairy pussy them niggas i fucked today ain t gi,1,rt rt x x rt only twitter person care bout hairy pussy them person i messing around today ain t gi
when it start thundering bitches be like i wana cuddle naw bitch you just wana excuse to suck a dick you and mimi sit tf down in a corner,1,when it start thundering person be like i wana cuddle naw person you just wana excuse to suck a dick you and mimi sit tf down in a corner
so i guess that makes us blacks double niggers huh,1,so i guess that makes us blacks double niggers huh
sell soul yea bitch shit serious,1,sell soul yea person stuff serious
lol shid who got one boy my ass lonely as a bitch you cuffed up ain t ya,1,lol shid who got one boy my person lonely as a person you cuffed up ain t ya
bitch don t kill my vibe,1,person don t kill my vibe
will s tweets scream look at me i m a pansy ass bitch like of the days in a week,1,will s tweets scream look at me i m a pansy person person like of the days in a week
i was gonna put i wanna eat the pussy like a saiyan in her mentions but they re savage enough,1,i was gonna put i wanna eat the pussy like a saiyan in her mentions but they re savage enough
rt lol thats grwn man shit nd bitches b loven it,1,rt lol thats grwn man stuff nd person b loven it
my nigga so stiff but his bitch even stiffer me that is,1,my person so stiff but his person even stiffer me that is
when ratchet bitches find out the club ain t to get in,1,when ratchet person find out the club ain t to get in
rt fuck bitches get money a favorite nigga s line when a girl leave his ass for another man,1,rt messing around person get money a favorite person s line when a girl leave his person for another man
that nigga spun around in the pussy,1,that person spun around in the pussy
porn android iphone ipad sex xxx anal bbc anal creampie bitch,1,porn android iphone ipad sex xxx anal bbc anal creampie person
rt bitch bye,1,rt person bye
i don t like the sand nigger but it s entertaining like knockdowns,0,i don t like the sand nigger but it s entertaining like knockdowns
sometimes i feel like being really nice to everyone then i m just like wait you re all bitches anyway soooo,1,sometimes i feel like being really nice to everyone then i m just like wait you re all person anyway soooo
rt pussy,1,rt pussy
a bitch couldn t pay me to get dem pregnant again fr fam ion see how niccas out here poppin kids out,1,a person couldn t pay me to get dem pregnant again fr fam ion see how niccas out here poppin kids out
got baby mama no bitch no wife,1,got baby mama no person no wife
im prolly wit yo bitch big butt cant fit up in the,1,im prolly wit yo person big butt cant fit up in the
rt this bitch came to the club with a broken neck bitch you serious,1,rt this person came to the club with a broken neck person you serious
niggas gossip like hoes man i ain t wid that shit,1,person gossip like people man i ain t wid that stuff
i remember me amp duddy was arguing amp he gon say shut up bitch that s why you raped me just childish,1,i remember me amp duddy was arguing amp he gon say shut up person that s why you raped me just childish
jon jones just lost all my respect turned down a fight like a bitch hope he loses his next fight now,1,jon jones just lost all my respect turned down a fight like a person hope he loses his next fight now
merry christmas to all y all bitches and hoes,1,merry christmas to all y all person and people
i don t be crying over stripper bitches that left me for dudes with money tho and singing about it,1,i don t be crying over stripper person that left me for dudes with money tho and singing about it
u guys are fags,0,u guys are fags
was just informed that crunk ain t dead ho lol okay sure,1,was just informed that crunk ain t dead ho lol okay sure
lmao amp aero sound young af talking bout hoes n weed n shit brah you gotta listen to this shit,1,lmao amp aero sound young af talking bout people n weed n stuff brah you gotta listen to this stuff
rt i took yo job bitch,1,rt i took yo job person
you re being a bitch lol but naa serio wassuo,1,you re being a person lol but naa serio wassuo
rt bitches came over yeah we threw a party,1,rt person came over yeah we threw a party
ha well iguess i make them hoes loyal bro theyll never be loyal that y they hoes my nig,1,ha well iguess i make them people loyal bro theyll never be loyal that y they people my nig
rt bruh every time a famous celebrity tweet something the st person to comment is some hoe talkin bout slap ya dick on me d,1,rt bruh every time a famous celebrity tweet something the st person to comment is some people talkin bout slap ya dick on me d
you only bully people you know you can why you ain t do this in the playoffs bitch,1,you only bully people you know you can why you ain t do this in the playoffs person
bitch yu nt gone mention me back,1,person yu nt gone mention me back
i m a bitch,1,i m a person
yass bitch yass,1,yass person yass
lol send dat nicca clean out talmbout some n what if he really is,1,lol send dat nicca clean out talmbout some n what if he really is
quit bitching faggot happy you cant see your faggot family cry baby little girl crying in the parking lot you aint a man sissy,0,quit bitching person happy you cant see your person family cry baby little girl crying in the parking lot you aint a man sissy
